Class,F1,Precision,Recall
attack,0.6977395048439182,0.6677655300298754,0.7305308238476277
investigation,0.840879441615012,0.8841974734557855,0.8016075995615638
mount,0.8027412390802291,0.7813232994526974,0.8253665083625852
other,0.9319340120970082,0.9118764081107177,0.9528938340580944
