Class,F1,Precision,Recall
attack,0.581107050001884,0.7942115562879802,0.45816993464052286
investigation,0.8090578952371897,0.8244352307513465,0.7942436912050171
mount,0.8158493177773385,0.8066376655750526,0.8252737910686603
other,0.9230927060791063,0.9028826966258099,0.9442281876536952
