Class,F1,Precision,Recall,Average Precision
attack,0.4009305932531989,0.2662203913491246,0.8116169544740973,0.5591379914987757
investigation,0.8818298177728784,0.9235376616533779,0.8437263299472623,0.9416207049068671
mount,0.8658602019413686,0.8672985781990521,0.864426588750913,0.9397368456663557
other,0.9550385698074284,0.9446423501353373,0.9656661661584186,0.9925060472324665
Macro Average,0.7162068709891486,0.6856855437338515,0.8399232910574241,0.8134985140239994
