Class,F1,Precision,Recall,Average Precision
attack,0.9751177554781897,0.9808425172520342,0.9694594319454342,0.9513264384328418
investigation,0.9459534399653592,0.9650249932188941,0.9276210908982553,0.9058391071080103
mount,0.9559386973180077,0.975609756097561,0.9370452091451106,0.9153692920649857
other,0.9738844925645609,0.9625283517548743,0.985511797591632,0.9719614858442769
