Class,F1,Precision,Recall
attack,0.30539311241065625,0.18373729476153244,0.9038461538461539
investigation,0.8017940078317093,0.8943118334179787,0.7266237517537344
mount,0.9503000260892251,0.9590573986308584,0.9417011375387797
other,0.9488577878103839,0.9255742671927847,0.9733429661739098
