Class,F1,Precision,Recall,Average Precision
attack,0.644414944054618,0.607871198568873,0.685633575464084,0.7368016932131278
investigation,0.867315496768375,0.9458263328279309,0.8008396655216682,0.9471102258637762
mount,0.7643805309734513,0.7281348788198103,0.8044237485448196,0.8722173137634449
other,0.956460256626574,0.9265987919546672,0.988310502283105,0.9960348451621206
Macro Average,0.7587036572654814,0.760610803405538,0.7636323298435239,0.8520430776134497
