Class,F1,Precision,Recall
attack,0.8481186815816235,0.8749691434213774,0.8228670922809054
investigation,0.7643607762233254,0.7633273242338399,0.7653970303421562
mount,0.7138205905467611,0.830893883951908,0.6256642393229679
other,0.9414216703611138,0.927117759610367,0.9561738693647633
