Class,F1,Precision,Recall,Average Precision
attack,0.0,0.0,0.0,0.19465685837048427
investigation,0.7976454270200781,0.966192681227718,0.6791681069247609,0.8369990173046511
mount,0.0,0.0,0.0,0.07492727906841909
other,0.9322001919558994,0.8845351516283704,0.9852948826885394,0.9915998355030662
Macro Average,0.2658818090066927,0.322064227075906,0.22638936897492032,0.36886105158118476
