Class,F1,Precision,Recall,Average Precision
attack,0.8626471637531217,0.9470198675496688,0.792078618225134,0.9494393407998638
investigation,0.9006111162440769,0.9307271028419825,0.8723829980374483,0.9674819784637297
mount,0.911636400527544,0.9418629026622878,0.8832896461336829,0.9734896801425618
other,0.9574824604104112,0.9357575757575758,0.9802400665791664,0.9949620128681645
Macro Average,0.8916315601749142,0.9398699576846464,0.8492504207987551,0.9634703331353851
