Class,F1,Precision,Recall,Average Precision
attack,0.38797498291900984,0.2628355764437798,0.740569823434992,0.5236678365087533
investigation,0.868516738955406,0.9122852485626403,0.8287557078332848,0.929120065731314
mount,0.873937316522713,0.8996925441967717,0.8496156257217328,0.946597870218743
other,0.9525904933168544,0.9415135814099544,0.9639311480047839,0.9916951015258553
Macro Average,0.710143012799043,0.6916044564010639,0.8063137189966699,0.7997952574862701
